,Label,Red,Green,Blue,Hue,Sarutation,Value,Size
0,0.0,145.61931063998267,163.24438398676054,199.85631900293956,17.55694273539331,81.9656747761143,201.78037339918876,828675.0
1,0.0,153.30424560057278,172.32983824479723,195.65939107674154,23.5890287449373,66.63677782765939,198.13496915028355,538097.0
2,0.0,170.72771834237952,187.15062742396236,205.89964273179308,51.83406298867907,54.8922960551533,210.07309576115975,464952.0
3,0.0,162.5810029465344,179.46885802587684,214.4631443143409,21.321772049624688,72.23165823493262,217.2799084214916,784085.0
4,0.0,163.97920465157645,190.4854214379419,203.91920297004935,19.77198527204607,63.398083823431314,210.08847611953573,433125.0
5,0.0,159.22247862643707,176.75273148425055,205.03022875195066,26.733371757716142,70.34352594461451,208.68371005540723,641936.0
6,0.0,157.75456372310015,170.64147914455884,199.86482156002333,25.879647039703254,67.53628015028536,201.52167723061922,650388.0
7,0.0,165.4340701394613,175.85567739444974,205.98287335147367,28.993274927634296,63.0787785776305,207.22590470385924,606743.0
8,0.0,161.24860555973945,170.841384726466,205.9398451618817,31.058600087233838,69.44950516353626,207.29127129529041,729995.0
9,0.0,155.16521409236321,170.6614497887786,198.08741763049244,25.860152127252345,68.41511668443934,200.22398994818582,538862.0
10,0.0,133.5070088373599,153.55729350711783,200.96244531302094,19.178232136718147,95.22673440125918,203.5171011479025,920574.0
11,0.0,131.9896849679788,152.33853408196012,200.42762434477254,18.074286469312476,96.61012461936721,203.0185062617716,920493.0
12,0.0,134.95920701749847,153.08396724075115,193.49086875820544,21.292392464251762,90.92395396113989,196.75597851979762,768017.0
13,0.0,160.32277851743737,177.92507220001178,219.76358751050088,18.243393101027078,77.2857731960678,222.13700843273847,683972.0
14,0.0,168.65644502151886,186.74781752068446,220.32473197225661,19.475911189577996,67.90366189913672,222.9492631587969,516696.0
15,0.0,163.08923741461106,180.01070798500308,218.4971566545737,16.055165803171676,72.5818925707075,221.34976521834088,587806.0
16,0.0,156.67936744245338,178.84164845571095,213.28470689466783,16.49788434222028,75.61690113272145,216.18868006993006,569737.0
17,0.0,170.95674817147628,185.94388503663276,220.8399115019438,18.28297300201854,65.51436341208134,223.0398681251246,641484.0
18,0.0,163.75266555829882,181.57421169825847,211.77224990376448,19.56062797002761,68.79221048038123,215.06967659883722,575752.0
19,0.0,165.68038175746156,184.79554096158512,228.61657188312537,18.25027502209166,75.05658246676923,231.02334880738957,970118.0
20,0.0,163.2076954286112,183.11231231231233,228.36554983474147,18.513884263008062,77.50952591936199,230.8220568788121,995759.0
21,0.0,177.37383012053002,199.31855643358875,218.96441863083834,34.66383372673782,57.36275350358055,225.20514297972542,468952.0
22,0.0,147.34474307609463,174.91608431653057,204.68503514193404,23.002143878994406,79.96133884941811,209.154546148653,519924.0
23,0.0,160.41232702378815,181.63227129187885,210.33717516361708,25.698235843744392,70.21048345678096,213.62840924794924,547444.0
24,0.0,154.93697752600562,173.39564120629703,213.76062787908106,20.304978262843772,77.6463060607091,216.02901773705466,735333.0
25,0.0,139.67640304701425,155.16487195020053,209.44640778186275,19.28674555759804,92.0499693627451,210.7745613302139,1141299.0
